Year,Trade Flow,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2014,Re-Export,Rep. of Moldova,MDA,178,Congo,COG,7,Machinery and transport equipment,130873
2014,Export,Rep. of Moldova,MDA,0,World,WLD,3,"Mineral fuels, lubricants and related materials",16077716
2014,Import,Rep. of Moldova,MDA,0,World,WLD,3,"Mineral fuels, lubricants and related materials",689053045
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,3,"Mineral fuels, lubricants and related materials",12195108
2014,Import,Rep. of Moldova,MDA,8,Albania,ALB,3,"Mineral fuels, lubricants and related materials",6703085
2014,Import,Rep. of Moldova,MDA,31,Azerbaijan,AZE,3,"Mineral fuels, lubricants and related materials",113310
2014,Re-Export,Rep. of Moldova,MDA,0,World,WLD,8,Miscellaneous manufactured articles,361979444
2014,Re-Export,Rep. of Moldova,MDA,40,Austria,AUT,3,"Mineral fuels, lubricants and related materials",81754
2014,Re-Export,Rep. of Moldova,MDA,92,Br. Virgin Isds,VGB,3,"Mineral fuels, lubricants and related materials",595438
2014,Re-Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,3,"Mineral fuels, lubricants and related materials",8314470
2014,Re-Export,Rep. of Moldova,MDA,156,China,CHN,3,"Mineral fuels, lubricants and related materials",988519
2014,Re-Export,Rep. of Moldova,MDA,554,New Zealand,NZL,3,"Mineral fuels, lubricants and related materials",1081733
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,3,"Mineral fuels, lubricants and related materials",81754
2014,Export,Rep. of Moldova,MDA,44,Bahamas,BHS,3,"Mineral fuels, lubricants and related materials",2590
2014,Export,Rep. of Moldova,MDA,84,Belize,BLZ,3,"Mineral fuels, lubricants and related materials",63
2014,Export,Rep. of Moldova,MDA,92,Br. Virgin Isds,VGB,3,"Mineral fuels, lubricants and related materials",595438
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,3,"Mineral fuels, lubricants and related materials",11466244
2014,Export,Rep. of Moldova,MDA,0,World,WLD,8,Miscellaneous manufactured articles,516908771
2014,Export,Rep. of Moldova,MDA,4,Afghanistan,AFG,8,Miscellaneous manufactured articles,1384
2014,Export,Rep. of Moldova,MDA,24,Angola,AGO,8,Miscellaneous manufactured articles,4481
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,8,Miscellaneous manufactured articles,738853
2014,Export,Rep. of Moldova,MDA,36,Australia,AUS,8,Miscellaneous manufactured articles,36178
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,8,Miscellaneous manufactured articles,485006
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,8,Miscellaneous manufactured articles,152736
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,8,Miscellaneous manufactured articles,5420908
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,8,Miscellaneous manufactured articles,802
2014,Export,Rep. of Moldova,MDA,76,Brazil,BRA,8,Miscellaneous manufactured articles,16842
2014,Export,Rep. of Moldova,MDA,84,Belize,BLZ,8,Miscellaneous manufactured articles,24
2014,Export,Rep. of Moldova,MDA,100,Bulgaria,BGR,8,Miscellaneous manufactured articles,16184513
2014,Export,Rep. of Moldova,MDA,112,Belarus,BLR,8,Miscellaneous manufactured articles,1768541
2014,Import,Rep. of Moldova,MDA,0,World,WLD,8,Miscellaneous manufactured articles,477906438
2014,Import,Rep. of Moldova,MDA,8,Albania,ALB,8,Miscellaneous manufactured articles,107086
2014,Import,Rep. of Moldova,MDA,20,Andorra,AND,8,Miscellaneous manufactured articles,82923
2014,Export,Rep. of Moldova,MDA,0,World,WLD,TOTAL,All Commodities,2339529843
2014,Export,Rep. of Moldova,MDA,4,Afghanistan,AFG,TOTAL,All Commodities,42459
2014,Export,Rep. of Moldova,MDA,8,Albania,ALB,TOTAL,All Commodities,165468
2014,Export,Rep. of Moldova,MDA,24,Angola,AGO,TOTAL,All Commodities,7416
2014,Export,Rep. of Moldova,MDA,31,Azerbaijan,AZE,TOTAL,All Commodities,5916272
2014,Export,Rep. of Moldova,MDA,36,Australia,AUS,TOTAL,All Commodities,345165
2014,Export,Rep. of Moldova,MDA,40,Austria,AUT,TOTAL,All Commodities,23822172
2014,Export,Rep. of Moldova,MDA,44,Bahamas,BHS,TOTAL,All Commodities,2590
2014,Export,Rep. of Moldova,MDA,50,Bangladesh,BGD,TOTAL,All Commodities,185896
2014,Export,Rep. of Moldova,MDA,51,Armenia,ARM,TOTAL,All Commodities,2137580
2014,Export,Rep. of Moldova,MDA,56,Belgium,BEL,TOTAL,All Commodities,11218258
2014,Export,Rep. of Moldova,MDA,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,972600
2014,Re-Export,Rep. of Moldova,MDA,191,Croatia,HRV,7,Machinery and transport equipment,41
2014,Re-Export,Rep. of Moldova,MDA,203,Czechia,CZE,7,Machinery and transport equipment,1107
2014,Re-Export,Rep. of Moldova,MDA,251,France,FRA,7,Machinery and transport equipment,155901
2014,Re-Export,Rep. of Moldova,MDA,268,Georgia,GEO,7,Machinery and transport equipment,237584
2014,Re-Export,Rep. of Moldova,MDA,276,Germany,DEU,7,Machinery and transport equipment,2353293
2014,Re-Export,Rep. of Moldova,MDA,344,"China, Hong Kong SAR",HKG,7,Machinery and transport equipment,1415
2014,Re-Export,Rep. of Moldova,MDA,348,Hungary,HUN,7,Machinery and transport equipment,432577
2014,Re-Export,Rep. of Moldova,MDA,364,Iran,IRN,7,Machinery and transport equipment,374911
2014,Re-Export,Rep. of Moldova,MDA,368,Iraq,IRQ,7,Machinery and transport equipment,9120
2014,Re-Export,Rep. of Moldova,MDA,381,Italy,ITA,7,Machinery and transport equipment,6433555
2014,Re-Export,Rep. of Moldova,MDA,398,Kazakhstan,KAZ,7,Machinery and transport equipment,1709045
2014,Re-Export,Rep. of Moldova,MDA,417,Kyrgyzstan,KGZ,7,Machinery and transport equipment,218272
2014,Re-Export,Rep. of Moldova,MDA,440,Lithuania,LTU,7,Machinery and transport equipment,12814
2014,Re-Export,Rep. of Moldova,MDA,466,Mali,MLI,7,Machinery and transport equipment,90000
2014,Re-Export,Rep. of Moldova,MDA,504,Morocco,MAR,7,Machinery and transport equipment,14550
